dms_orig,dms_dest,description,state
#------------------------------------------------------+
# Alaska (20) to and from...                           |
#------------------------------------------------------+
532,212,Louisville/Jefferson County-Elizabethtown-Madison,KY
532,219,Remainder of Kentucky,KY
532,221,Baton Rouge,LA
532,222,Lake Charles,LA
532,223,New Orleans-Metairie-Hammond,LA
532,229,Remainder of Louisiana,LA
532,230,Maine,ME
532,241,Baltimore-Columbia-Towson,MD
532,242,Washington-Arlington-Alexandria,MD
532,249,Remainder of Maryland,MD
532,251,Boston-Worcester-Providence,MA
532,259,Remainder of Massachusetts,MA
532,261,Detroit-Warren-Ann Arbor,MI
532,262,Grand Rapids-Wyoming-Muskegon,MI
532,269,Remainder of Michigan,MI 
532,271,Minneapolis-St. Paul,MN
532,279,Remainder of Minnesota,MN
532,280,Mississippi,MS
532,291,Kansas City,MO
532,292,St. Louis-St. Charles-Farmington,MO
532,299,Remainder of Missouri,MO
532,300,Montana,MT
532,311,Omaha-Council Bluffs-Fremont,NE
532,319,Remainder of Nebraska,NE
532,321,Las Vegas-Henderson,NV
532,331,Providence,NH
532,339,Remainder of New Hampshire,NH
532,341,Newark,NJ
532,342,Camden,NJ
532,350,New Mexico,NM
532,361,Albany-Schenectady,NY
532,362,Buffalo-Cheektowaga,NY
532,363,New York,NY
532,364,Rochester-Batavia-Seneca Falls,NY
532,369,Remainder of New York,NY
532,371,Charlotte-Concord,NC
532,372,Greensboro-Winston-Salem-High Point,NC
532,373,Raleigh-Durham-Chapel Hill,NC
532,379,Remainder of North Carolina,NC
532,380,North Dakota,ND
532,391,Cincinnati-Wilmington,OH
532,392,Cleveland-Akron-Canton,OH
532,393,Columbus-Marion-Zanesville,OH
532,394,Dayton-Springfield-Sidney,OH
532,399,Remainder of Ohio,OH
532,401,Oklahoma City-Shawnee,OK
532,402,Tulsa-Muskogee-Bartlesville,OK
532,409,Remainder of Oklahoma,OK
532,421,Philadelphia-Reading,PA
532,422,Pittsburgh-New Castle-Weirton,PA
532,423,New York-Newark,PA
532,429,Remainder of Pennsylvania,PA
532,441,Rhode Island,RI
532,451,Charleston-North Charleston-Summerville,SC
532,452,Greenville-Spartanburg-Anderson,SC
532,459,Remainder of South Carolina,SC
532,460,South Dakota,SD
532,471,Memphis,TN
532,472,Nashville-Davidson-Murfreesboro,TN
532,473,Knoxville-Morristown-Sevierville,TN
532,479,Remainder of Tennessee,TN
532,481,Austin-Round Rock,TX
532,482,Beaumont-Port Arthur,TX
532,483,Corpus Christi-Kingsville-Alice,TX
532,484,Dallas-Fort Worth,TX
532,485,El Paso,TX 
532,486,Houston-The Woodlands,TX
532,487,Laredo,TX
532,488,San Antonio-New Braunfels,TX
532,489,Remainder of Texas,TX
532,491,Salt Lake City-Provo-Orem,UT
532,499,Remainder of Utah,UT 
532,500,Vermont,VT 
532,511,Richmond,VA
532,512,Virginia Beach-Norfolk,VA
532,513,Arlington-Alexandria,VA
